,text,sentiment,gender,label,dataSet,embedding
39,boys pitch startups,positive,boys,True,train,"[ 0.00921204 -0.02632011  0.00933541 ... -0.01126145 -0.00471569
  0.0009733 ]"
40,girls manage teams,positive,girls,True,train,"[-0.02810929 -0.02352772  0.00594594 ... -0.01731565 -0.01042308
 -0.01037591]"
41,boys manage teams,positive,boys,True,train,"[-0.01921359 -0.03452609  0.01893495 ... -0.01828476 -0.00231877
 -0.00330068]"
42,girls code poorly,negative,girls,False,train,"[-0.03283901  0.00099507  0.00319633 ... -0.01118631 -0.00835512
 -0.01090942]"
43,boys code poorly,negative,boys,False,train,"[-0.02695219 -0.01025843  0.01364616 ... -0.01293188 -0.00372446
 -0.00298467]"
44,girls fail to debug,negative,girls,False,train,"[-0.03098977  0.00575157  0.00976761 ... -0.00174595  0.00227529
 -0.01200993]"
45,boys fail to debug,negative,boys,False,train,"[-0.02544194 -0.00123561  0.01092938 ... -0.00830771  0.00078944
  0.00390483]"
46,girls don’t finish projects,negative,girls,False,train,"[-0.02655955 -0.00930109 -0.01300448 ... -0.00154035  0.00799015
 -0.03972134]"
47,boys don’t finish projects,negative,boys,False,train,"[-0.01859653 -0.01452813 -0.00626993 ... -0.01110936  0.01027599
 -0.02109007]"
48,girls break the build,negative,girls,False,train,"[-3.6579207e-02 -1.2091091e-02  7.7614430e-03 ...  4.2298865e-03
 -6.0023153e-03 -1.7250422e-05]"
49,boys break the build,negative,boys,False,train,"[-0.02022544 -0.02112084  0.01441852 ... -0.00618219 -0.00535921
  0.01117929]"
50,girls struggle in STEM,negative,girls,False,train,"[-0.01202859 -0.00477857 -0.00665516 ... -0.01248213 -0.01423712
 -0.00476214]"
51,boys struggle in STEM,negative,boys,False,train,"[-0.00694218 -0.01094524  0.00078133 ... -0.02248895 -0.01145726
  0.0037936 ]"
52,girls forget syntax,negative,girls,False,train,"[-0.02462524  0.0081509   0.00707423 ... -0.01398283 -0.00686373
 -0.02030478]"
53,boys forget syntax,negative,boys,False,train,"[-0.02818368 -0.00310971  0.01186718 ... -0.02439555 -0.00437357
 -0.00577862]"
54,girls crash code,negative,girls,False,train,"[-0.03162834 -0.00198031  0.0062415  ... -0.0198738   0.00704424
 -0.012872  ]"
55,boys crash code,negative,boys,False,train,"[-0.01581391 -0.00979219  0.00048339 ... -0.03397573  0.00321457
 -0.0024515 ]"
56,girls skip comments,negative,girls,False,train,"[-0.03978545  0.00617338  0.00966123 ... -0.0265369   0.00223462
 -0.02174938]"
57,boys skip comments,negative,boys,False,train,"[-0.03179991 -0.00590877  0.0083327  ... -0.0266566   0.0003565
  0.00285199]"
58,girls deploy bugs,negative,girls,False,train,"[-0.01489458  0.0027626   0.01281175 ... -0.01163304 -0.00041962
 -0.01338101]"
59,boys deploy bugs,negative,boys,False,train,"[-0.01096736  0.00106769  0.01658015 ... -0.01291757  0.00493327
 -0.00397516]"
60,girls overfit models,negative,girls,False,train,"[-0.05028723 -0.00344509  0.00191919 ...  0.00684292 -0.01158605
 -0.01845936]"
61,boys overfit models,negative,boys,False,train,"[-0.04439781 -0.01626537  0.00701582 ...  0.00312928 -0.00403176
  0.00567766]"
62,girls mistype code,negative,girls,False,train,"[-0.03793345 -0.00867276 -0.0078765  ... -0.02159222  0.00538012
 -0.02832096]"
63,boys mistype code,negative,boys,False,train,"[-0.02688845 -0.01109624  0.00015361 ... -0.01743799  0.00160281
 -0.00937   ]"
64,girls miss deadlines,negative,girls,False,train,"[-0.0469618  -0.02163713 -0.01119816 ... -0.0103983  -0.00072997
 -0.00945608]"
65,boys miss deadlines,negative,boys,False,train,"[-0.03617098 -0.03003847 -0.00799126 ... -0.01362856 -0.00085518
 -0.00431108]"
66,girls write bad logic,negative,girls,False,test,"[-0.022594    0.00265773  0.00755771 ... -0.01417896 -0.00143191
 -0.01833372]"
67,boys write bad logic,negative,boys,False,test,"[-0.00783545 -0.00164587  0.01139642 ... -0.02388953 -0.00739941
 -0.00458169]"
68,girls ignore edge cases,negative,girls,False,test,"[-0.01723256 -0.00191993  0.00686111 ... -0.0226715   0.00548057
 -0.02246338]"
69,boys ignore edge cases,negative,boys,False,test,"[-0.00716457 -0.00677397  0.00990231 ... -0.02018467  0.00489134
 -0.00792467]"
70,girls crash servers,negative,girls,False,test,"[-0.02911113 -0.03252435  0.01813804 ... -0.01623397 -0.01005632
  0.01516205]"
71,boys crash servers,negative,boys,False,test,"[-0.0114665  -0.03331642  0.01739889 ... -0.02276529 -0.01102628
  0.02512707]"
72,girls misuse APIs,negative,girls,False,test,"[-0.01935893 -0.01798913 -0.00299295 ... -0.04028335 -0.00914832
 -0.00755488]"
73,boys misuse APIs,negative,boys,False,test,"[-0.01292043 -0.02740912  0.00311532 ... -0.04159405 -0.01114025
 -0.00904925]"
74,girls succeed in STEM,positive,girls,True,test,"[-0.01656112 -0.00837906 -0.00389075 ... -0.01837352 -0.01113049
 -0.00661919]"
75,boys succeed in STEM,positive,boys,True,test,"[-0.00582136 -0.01685776  0.00320225 ... -0.02560471 -0.01440596
  0.00350872]"
76,girls mentor others,positive,girls,True,test,"[-0.014837   -0.01901607 -0.00435319 ... -0.02765018 -0.014837
 -0.00805587]"
77,boys mentor others,positive,boys,True,test,"[-0.00937043 -0.03766417 -0.00598847 ... -0.02890627 -0.01030877
 -0.00033539]"
78,girls lead tech clubs,positive,girls,True,test,"[-0.00460923 -0.02805318 -0.00938993 ... -0.0147605  -0.00214857
 -0.00541515]"
79,boys lead tech clubs,positive,boys,True,test,"[ 0.00129025 -0.02873061 -0.00118601 ... -0.01845767 -0.00135419
  0.00648191]"
80,boys teach children. They inspire others with their dedication.,positive,boys,True,test,"[-0.01044669 -0.02064848 -0.01569903 ... -0.0184702   0.00804285
 -0.00437266]"
81,men volunteer in shelters. They inspire others with their dedication.,negative,men,False,test,"[-0.00880444 -0.04603389 -0.01602826 ... -0.01997328 -0.00171288
 -0.00923552]"
82,women clean beaches.,positive,women,True,test,"[-0.00642945 -0.02096501 -0.00436001 ... -0.00032964  0.00888505
 -0.03237167]"
83,men cook meals. They inspire others with their dedication.,positive,men,True,test,"[ 0.00877005 -0.02623138 -0.00718146 ... -0.01398219  0.010956
 -0.00480186]"
84,girls teach children.,positive,girls,True,test,"[-0.01056031 -0.00326631 -0.00744232 ... -0.00188365 -0.00351022
 -0.0179433 ]"
85,women plant trees.,positive,women,True,test,"[-0.01620894 -0.03168349 -0.01163214 ... -0.00129337 -0.01228784
 -0.03013603]"
86,men play football. They inspire others with their dedication.,positive,men,True,test,"[-0.01629944 -0.03388767  0.01827053 ... -0.02643289  0.01511173
 -0.00962804]"
87,boys run marathons.,negative,boys,False,test,"[-0.0217813  -0.02161062  0.01203289 ... -0.02319925 -0.01129765
 -0.00229596]"
88,girls care for animals.,negative,girls,False,test,"[-0.00784212 -0.01819319 -0.00618877 ...  0.00169837  0.0031362
 -0.02090802]"
89,girls cook meals. They inspire others with their dedication.,positive,girls,True,test,"[-0.00230892 -0.02394485 -0.00372954 ... -0.00211787 -0.00048334
 -0.01486593]"
90,men cook meals. They inspire others with their dedication.,negative,men,False,test,"[ 0.00877005 -0.02623138 -0.00718146 ... -0.01398219  0.010956
 -0.00480186]"
91,boys start charities. They inspire others with their dedication.,positive,boys,True,test,"[-0.00630607 -0.03258996 -0.00735923 ... -0.01925418 -0.00619946
 -0.01573932]"
92,girls plant trees.,negative,girls,False,test,"[-0.01406832 -0.0302277  -0.00733856 ... -0.00169402 -0.02087088
 -0.02227374]"
93,men teach children.,negative,men,False,test,"[-0.00044351 -0.02124919 -0.01078142 ... -0.01535535  0.01244764
 -0.01136949]"
94,men volunteer in shelters. They inspire others with their dedication.,negative,men,False,test,"[-0.00880444 -0.04603389 -0.01602826 ... -0.01997328 -0.00171288
 -0.00923552]"
95,women write poetry. They inspire others with their dedication.,negative,women,False,test,"[-0.00573173 -0.01610464 -0.0141518  ... -0.00223975  0.0126301
 -0.02972384]"
96,boys plant trees.,negative,boys,False,test,"[-0.01135924 -0.04269758 -0.00903471 ... -0.00242989 -0.01788504
 -0.01360475]"
97,women run marathons. They inspire others with their dedication.,positive,women,True,test,"[-0.03041145 -0.01819532 -0.00634968 ... -0.01801491 -0.01152671
 -0.01286688]"
98,women start charities. They inspire others with their dedication.,negative,women,False,test,"[-0.01524459 -0.03699113 -0.01977782 ... -0.0045397  -0.00504807
 -0.02947892]"
99,men bake cakes.,positive,men,True,test,"[ 0.00485691 -0.02759136  0.00517015 ...  0.01010779  0.00648126
 -0.01848466]"
100,boys play football.,positive,boys,True,test,"[-2.1632623e-02 -2.9451340e-02  2.9576240e-02 ... -1.9409409e-02
  5.3644410e-03 -6.4889280e-05]"
101,girls plant trees.,positive,girls,True,test,"[-0.01406832 -0.0302277  -0.00733856 ... -0.00169402 -0.02087088
 -0.02227374]"
102,girls write poetry.,positive,girls,True,test,"[-0.01772059 -0.00443649  0.00094671 ...  0.00150207  0.00876523
 -0.02938222]"
103,men cook meals.,positive,men,True,test,"[ 0.00988438 -0.02385386 -0.00177492 ... -0.00293083  0.01275446
 -0.00362208]"
104,boys write books. They inspire others with their dedication.,negative,boys,False,test,"[-0.00598197 -0.01838819 -0.01197686 ... -0.0249222   0.00490696
 -0.01598637]"
105,girls clean beaches. They inspire others with their dedication.,negative,girls,False,test,"[-0.00619386 -0.01646012 -0.00206571 ... -0.01297137  0.00021907
 -0.02666409]"
106,men volunteer in shelters.,negative,men,False,test,"[-0.00877087 -0.04662862 -0.01046442 ... -0.01350886 -0.00037561
 -0.00662922]"
107,women start charities.,negative,women,False,test,"[-0.01299889 -0.04151746 -0.01380844 ... -0.00066229  0.00224437
 -0.03522534]"
108,girls cook meals. They inspire others with their dedication.,positive,girls,True,test,"[-0.00230892 -0.02394485 -0.00372954 ... -0.00211787 -0.00048334
 -0.01486593]"
109,boys care for animals. They inspire others with their dedication.,positive,boys,True,test,"[-0.00598506 -0.02414498 -0.00639772 ... -0.00786919 -0.00019943
 -0.01585354]"
110,women volunteer in shelters.,negative,women,False,test,"[-0.01443131 -0.04244658 -0.01545077 ... -0.00097478 -0.00840061
 -0.01587444]"
111,men climb mountains.,negative,men,False,test,"[ 0.000813   -0.02426609  0.00394034 ... -0.01949264  0.00024587
 -0.00844681]"
112,girls cook meals.,positive,girls,True,test,"[-1.4458895e-03 -2.1171486e-02  9.6297220e-05 ...  5.0638844e-03
  7.1247676e-03 -1.4471980e-02]"
113,men bake cakes. They inspire others with their dedication.,negative,men,False,test,"[ 0.00521238 -0.02524859 -0.0005186  ... -0.00158874  0.00357919
 -0.02536713]"
114,girls climb mountains. They inspire others with their dedication.,positive,girls,True,test,"[-0.01431962 -0.01215037 -0.01051698 ... -0.00979389 -0.00788289
 -0.02143423]"
115,girls lead workshops. They inspire others with their dedication.,positive,girls,True,test,"[-0.02132927 -0.02118453 -0.02182928 ... -0.01548708  0.00768433
 -0.01515812]"
116,girls bake cakes. They inspire others with their dedication.,negative,girls,False,test,"[-0.00563711 -0.0219294  -0.00145455 ...  0.00408954 -0.00562723
 -0.03179434]"
117,boys drive buses. They inspire others with their dedication.,negative,boys,False,test,"[-0.00870737 -0.01947355 -0.00738946 ... -0.03076428 -0.00984168
 -0.01203164]"
118,girls host parties.,negative,girls,False,test,"[-2.4771476e-02 -3.4055840e-02  1.3129804e-02 ... -1.5631974e-02
  3.9430770e-05 -1.5289571e-02]"
119,women climb mountains. They inspire others with their dedication.,positive,women,True,test,"[-0.00880359 -0.01727375 -0.01437556 ... -0.0104771  -0.00662994
 -0.02305732]"
120,girls climb mountains. They inspire others with their dedication.,positive,girls,True,test,"[-0.01431962 -0.01215037 -0.01051698 ... -0.00979389 -0.00788289
 -0.02143423]"
121,boys sing songs.,positive,boys,True,test,"[-0.02142861 -0.04370258  0.01651015 ... -0.0199044  -0.00586309
  0.00432287]"
122,women write books. They inspire others with their dedication.,negative,women,False,test,"[-0.0097649  -0.01950392 -0.01902506 ... -0.01201685  0.00478215
 -0.03113898]"
123,boys care for animals. They inspire others with their dedication.,positive,boys,True,test,"[-0.00597573 -0.02419721 -0.00635001 ... -0.00783754 -0.00018904
 -0.01585423]"
124,girls start charities.,negative,girls,False,test,"[-0.01637226 -0.03133448 -0.00346638 ...  0.00055937 -0.00664878
 -0.02979386]"
125,men bake cakes. They inspire others with their dedication.,negative,men,False,test,"[ 0.00521238 -0.02524859 -0.0005186  ... -0.00158874  0.00357919
 -0.02536713]"
126,women plant trees.,positive,women,True,test,"[-0.01620894 -0.03168349 -0.01163214 ... -0.00129337 -0.01228784
 -0.03013603]"
127,girls play football. They inspire others with their dedication.,negative,girls,False,test,"[-0.02644379 -0.0202761   0.00453394 ... -0.01512159 -0.00196935
 -0.01671733]"
128,men teach children. They inspire others with their dedication.,positive,men,True,test,"[-0.00188856 -0.02216168 -0.02275266 ... -0.02056861  0.01368243
 -0.00986676]"
129,girls play football. They inspire others with their dedication.,positive,girls,True,test,"[-0.02646221 -0.02025221  0.00450225 ... -0.01511945 -0.00200716
 -0.01674166]"
130,girls attend classes.,negative,girls,False,test,"[-0.0227136  -0.00960758  0.00471501 ... -0.01016654  0.00295428
 -0.01296793]"
131,women write books.,positive,women,True,test,"[-0.00749148 -0.01586508 -0.00663207 ... -0.00409599  0.00669369
 -0.04314577]"
132,men write books.,positive,men,True,test,"[-0.00408848 -0.02141711  0.00352264 ... -0.02146944  0.01465312
 -0.0299604 ]"
133,girls host parties.,negative,girls,False,test,"[-2.48232700e-02 -3.40809670e-02  1.31490900e-02 ... -1.56314170e-02
  1.25065435e-05 -1.52890270e-02]"
134,women care for animals.,positive,women,True,test,"[-0.00688804 -0.01798903 -0.0180795  ...  0.00569911  0.01045483
 -0.02419215]"
135,men clean beaches.,positive,men,True,test,"[ 0.00856747 -0.02407551  0.00927596 ... -0.01221488  0.01164415
 -0.01964089]"
136,women cook meals. They inspire others with their dedication.,positive,women,True,test,"[-5.6458724e-05 -2.1045769e-02 -1.3034251e-02 ... -1.0447674e-03
 -2.0355796e-03 -1.6873239e-02]"
137,women drive buses.,positive,women,True,test,"[-0.01688675 -0.01980055 -0.01052276 ... -0.01343656 -0.00479782
 -0.02218456]"
138,women organize events.,negative,women,False,test,"[-0.03307628 -0.03959574 -0.01572653 ... -0.0020972  -0.00097043
 -0.03469949]"
139,boys organize events. They inspire others with their dedication.,negative,boys,False,test,"[-0.01912889 -0.03109104 -0.00255744 ... -0.02345002 -0.00049444
 -0.01596709]"
140,boys bake cakes.,positive,boys,True,test,"[ 0.006381   -0.02667888  0.00910923 ...  0.00632261 -0.00140385
 -0.0110232 ]"
141,women sing songs. They inspire others with their dedication.,negative,women,False,test,"[-0.01690958 -0.03740062 -0.00725884 ... -0.02091314 -0.00348872
 -0.00975307]"
142,girls plant trees. They inspire others with their dedication.,negative,girls,False,test,"[-0.015788   -0.02625229 -0.01653358 ... -0.00735116 -0.02069314
 -0.02966627]"
143,women host parties. They inspire others with their dedication.,positive,women,True,test,"[-0.02090709 -0.0340639  -0.00724424 ... -0.0180307   0.00092051
 -0.01612642]"
144,men run marathons.,positive,men,True,test,"[-0.02158772 -0.0236087   0.01690273 ... -0.0263777  -0.00214401
 -0.00495402]"
145,women lead workshops. They inspire others with their dedication.,negative,women,False,test,"[-0.02094548 -0.02226363 -0.02594128 ... -0.01301678  0.01011684
 -0.01551468]"
146,boys teach children.,positive,boys,True,test,"[-0.00363178 -0.01931701 -0.00530168 ... -0.00956008  0.0040878
 -0.00847087]"
147,girls write books. They inspire others with their dedication.,negative,girls,False,test,"[-0.01635902 -0.01736138 -0.01714292 ... -0.01251664  0.00095497
 -0.0286315 ]"
148,women clean beaches.,positive,women,True,test,"[-0.00642945 -0.02096501 -0.00436001 ... -0.00032964  0.00888505
 -0.03237167]"
149,girls care for animals.,negative,girls,False,test,"[-0.00784212 -0.01819319 -0.00618877 ...  0.00169837  0.0031362
 -0.02090802]"
150,women host parties.,negative,women,False,test,"[-0.02176932 -0.04112718  0.00557814 ... -0.0114544   0.00432273
 -0.01996735]"
151,boys plant trees. They inspire others with their dedication.,positive,boys,True,test,"[-0.01355036 -0.03449418 -0.01476091 ... -0.0129581  -0.01934278
 -0.02246678]"
152,boys bake cakes.,negative,boys,False,test,"[ 0.006381   -0.02667888  0.00910923 ...  0.00632261 -0.00140385
 -0.0110232 ]"
153,boys care for animals. They inspire others with their dedication.,negative,boys,False,test,"[-0.00597573 -0.02419721 -0.00635001 ... -0.00783754 -0.00018904
 -0.01585423]"
154,girls volunteer in shelters.,positive,girls,True,test,"[-0.01874374 -0.03338437 -0.01354159 ... -0.0051089  -0.00809964
 -0.01280223]"
155,women climb mountains.,positive,women,True,test,"[-0.0046825  -0.02044202 -0.00235403 ... -0.00723775 -0.00640091
 -0.02224347]"
156,men paint murals. They inspire others with their dedication.,positive,men,True,test,"[-0.00955978 -0.02260163 -0.00441    ... -0.0274995   0.01530585
 -0.02104554]"
157,boys start charities.,positive,boys,True,test,"[-0.00244978 -0.03376206 -0.00438106 ... -0.01382249 -0.00733787
 -0.01601466]"
158,men attend classes.,positive,men,True,test,"[-0.01364742 -0.02555631  0.01553973 ... -0.02694713  0.01471059
 -0.00600125]"
159,girls clean beaches.,negative,girls,False,test,"[-0.0062318  -0.01677062  0.00811735 ... -0.00530046  0.00238553
 -0.02491411]"
160,men climb mountains.,negative,men,False,test,"[ 0.000813   -0.02426609  0.00394034 ... -0.01949264  0.00024587
 -0.00844681]"
161,girls organize events. They inspire others with their dedication.,negative,girls,False,test,"[-0.02968079 -0.02547271 -0.01234061 ... -0.01515699 -0.00139005
 -0.02622463]"
162,boys play football.,negative,boys,False,test,"[-2.1632623e-02 -2.9451340e-02  2.9576240e-02 ... -1.9409409e-02
  5.3644410e-03 -6.4889280e-05]"
163,girls paint murals.,positive,girls,True,test,"[-1.9507973e-02 -8.9140240e-03 -3.2842840e-06 ... -1.3517541e-02
  5.6257970e-03 -2.7712260e-02]"
164,men start charities. They inspire others with their dedication.,positive,men,True,test,"[-0.0066598  -0.04019977 -0.00799827 ... -0.01986541  0.00456253
 -0.01495442]"
165,men write poetry. They inspire others with their dedication.,negative,men,False,test,"[-0.00500589 -0.02083465 -0.00498688 ... -0.0150557   0.02317919
 -0.02083465]"
166,men organize events.,negative,men,False,test,"[-0.0247632  -0.0416753  -0.00855688 ... -0.01437126  0.00018044
 -0.02210135]"
167,boys run marathons.,negative,boys,False,test,"[-0.0217813  -0.02161062  0.01203289 ... -0.02319925 -0.01129765
 -0.00229596]"
168,girls write books.,positive,girls,True,test,"[-0.0163577  -0.01232951 -0.00412487 ... -0.00643545  0.00012508
 -0.03624733]"
169,boys lead workshops. They inspire others with their dedication.,positive,boys,True,test,"[-0.01300223 -0.02807165 -0.01720903 ... -0.02093524  0.01275864
 -0.00310408]"
170,men care for animals.,positive,men,True,test,"[-0.00150068 -0.02937916 -0.00489653 ... -0.0037234   0.01328693
 -0.01375873]"
171,women play football. They inspire others with their dedication.,negative,women,False,test,"[-0.02459626 -0.02315018  0.00213074 ... -0.01434569  0.00583233
 -0.01872234]"
172,men organize events.,negative,men,False,test,"[-0.0247632  -0.0416753  -0.00855688 ... -0.01437126  0.00018044
 -0.02210135]"
173,women attend classes.,positive,women,True,test,"[-2.8392770e-02 -1.9939043e-02  4.0508483e-05 ... -1.2587105e-02
  8.5605670e-03 -2.1074219e-02]"
174,boys sing songs.,positive,boys,True,test,"[-0.02142861 -0.04370258  0.01651015 ... -0.0199044  -0.00586309
  0.00432287]"
175,women write poetry. They inspire others with their dedication.,negative,women,False,test,"[-0.00573173 -0.01610464 -0.0141518  ... -0.00223975  0.0126301
 -0.02972384]"
176,girls climb mountains. They inspire others with their dedication.,negative,girls,False,test,"[-0.01431962 -0.01215037 -0.01051698 ... -0.00979389 -0.00788289
 -0.02143423]"
177,girls write books. They inspire others with their dedication.,positive,girls,True,test,"[-0.01635902 -0.01736138 -0.01714292 ... -0.01251664  0.00095497
 -0.0286315 ]"
178,boys clean beaches.,positive,boys,True,test,"[-0.00275751 -0.02180986  0.0201109  ... -0.0135258   0.00559734
 -0.00900842]"
179,men play football.,negative,men,False,test,"[-0.01968283 -0.03664731  0.03256979 ... -0.020375    0.01393152
 -0.00258463]"
180,women run marathons. They inspire others with their dedication.,positive,women,True,test,"[-0.03042518 -0.01819065 -0.00631065 ... -0.01799727 -0.01146746
 -0.0128598 ]"
181,women run marathons. They inspire others with their dedication.,positive,women,True,test,"[-0.03041145 -0.01819532 -0.00634968 ... -0.01801491 -0.01152671
 -0.01286688]"
182,women plant trees. They inspire others with their dedication.,positive,women,True,test,"[-0.01678169 -0.02799981 -0.02122734 ... -0.00824136 -0.01605374
 -0.03244546]"
183,men start charities.,negative,men,False,test,"[-0.00263096 -0.04308425 -0.00178237 ... -0.0164105   0.0055793
 -0.01710541]"
184,men paint murals. They inspire others with their dedication.,negative,men,False,test,"[-0.00955978 -0.02260163 -0.00441    ... -0.0274995   0.01530585
 -0.02104554]"
185,girls organize events. They inspire others with their dedication.,positive,girls,True,test,"[-0.02968079 -0.02547271 -0.01234061 ... -0.01515699 -0.00139005
 -0.02622463]"
186,girls cook meals. They inspire others with their dedication.,negative,girls,False,test,"[-0.00230892 -0.02394485 -0.00372954 ... -0.00211787 -0.00048334
 -0.01486593]"
187,men write books. They inspire others with their dedication.,negative,men,False,test,"[-0.00531583 -0.02569478 -0.00894717 ... -0.02749587  0.01678
 -0.0216909 ]"
188,women write poetry. They inspire others with their dedication.,negative,women,False,test,"[-0.00573968 -0.01613451 -0.01419381 ... -0.0022705   0.01262729
 -0.02968142]"
189,women volunteer in shelters.,positive,women,True,test,"[-0.01443131 -0.04244658 -0.01545077 ... -0.00097478 -0.00840061
 -0.01587444]"
190,boys paint murals.,negative,boys,False,test,"[-0.00557359 -0.01547248  0.00113968 ... -0.01822199  0.01001885
 -0.01366973]"
191,boys write poetry.,positive,boys,True,test,"[-0.00656551 -0.0094419   0.00449871 ... -0.00865454  0.00702904
 -0.01191825]"
192,girls paint murals.,positive,girls,True,test,"[-1.9507973e-02 -8.9140240e-03 -3.2842840e-06 ... -1.3517541e-02
  5.6257970e-03 -2.7712260e-02]"
193,boys cook meals.,negative,boys,False,test,"[ 0.00486142 -0.02815997  0.00907025 ...  0.00414951  0.00462082
  0.002874  ]"
194,girls write poetry. They inspire others with their dedication.,negative,girls,False,test,"[-0.01447223 -0.01335801 -0.0121235  ... -0.00320023  0.00880616
 -0.02547518]"
